organism_name,description
Corymbia maculata,"Corymbia maculata, Evergreen tree native to Australia. Commonly known as spotted gum, it is valued for its timber and is used in construction."
Eucalyptus polyanthemos subsp. polyanthemos,"Eucalyptus polyanthemos subsp. polyanthemos, Evergreen tree native to Australia. Commonly known as red box, it is valued for its timber and as a windbreak."
Citrus sp. QX-2021,"Citrus sp. QX-2021, (Unknown species) Citrus is a genus of flowering trees and shrubs. The specific species is not specified (QX-2021)."
Eucalyptus guilfoylei,"Eucalyptus guilfoylei, Evergreen tree native to Australia. Commonly known as yellow box, it is valued for its timber and nectar-rich flowers."
Bauhinia variegata,"Bauhinia variegata, Deciduous tree native to Southeast Asia. Commonly known as orchid tree, it is valued for its ornamental flowers."
Eucalyptus erythrocorys,"Eucalyptus erythrocorys, Evergreen tree native to Australia. Commonly known as red cap gum, it is valued for its large, showy flowers."
Angophora floribunda,"Angophora floribunda, Evergreen tree native to Australia. Commonly known as rough-barked apple, it is valued for its ornamental value and habitat for wildlife."
Eucalyptus microcorys,"Eucalyptus microcorys, Evergreen tree native to Australia. Commonly known as tallowwood, it is valued for its timber and is used in construction."
Aegilops bicornis,"Aegilops bicornis, Perennial grass native to Eurasia and North Africa. Commonly known as slender goatgrass, it is considered a weed in some regions."
Eucalyptus paniculata subsp. matutina,"Eucalyptus paniculata subsp. matutina, Evergreen tree native to Australia. Commonly known as grey ironbark, it is valued for its hard, durable timber."
Nyssa sinensis,"Nyssa sinensis, Deciduous tree native to East Asia. Commonly known as Chinese tupelo, it is valued for its ornamental value and timber."
Eucalyptus tenuipes,"Eucalyptus tenuipes, Evergreen tree native to Australia. Commonly known as yertchuk, it is valued for its timber and is used in construction."
Rhamnella rubrinervis,"Rhamnella rubrinervis, Evergreen shrub or small tree native to New Zealand. Commonly known as red-vein koromiko, it is valued for its red-veined leaves."
Eucalyptus curtisii,"Eucalyptus curtisii, Evergreen tree native to Australia. Commonly known as Plunkett mallee, it is valued for its timber and as a windbreak."
Eucalyptus cladocalyx,"Eucalyptus cladocalyx, Evergreen tree native to Australia. Commonly known as sugar gum, it is valued for its timber and is used in landscaping."
Prinsepia uniflora,"Prinsepia uniflora, Deciduous shrub native to Asia. Commonly known as daphne, it is valued for its ornamental flowers and medicinal properties."
Eucalyptus leucophloia subsp. euroa,"Eucalyptus leucophloia subsp. euroa, Evergreen tree native to Australia. Commonly known as blue box, it is valued for its timber and is used in construction."
Syzygium aqueum,"Syzygium aqueum, Evergreen tree native to Southeast Asia. Commonly known as watery rose apple, it produces edible fruits."
Syzygium syzygioides,"Syzygium syzygioides, Evergreen tree native to Australia. Commonly known as lipstick lilly pilly, it is valued for its ornamental value."
Eucalyptus albens,"Eucalyptus albens, Evergreen tree native to Australia. Commonly known as white box, it is valued for its timber and is used in construction."
Eucalyptus pumila,"Eucalyptus pumila, Evergreen tree native to Australia. Commonly known as dwarf yellow gum, it is valued for its compact size and ornamental value."
Eucalyptus sp. ANBG9806169,"Eucalyptus sp. ANBG9806169, (Unknown species) The specific Eucalyptus species is not specified (ANBG9806169)."
Eucalyptus virginea,"Eucalyptus virginea, Evergreen tree native to Australia. Commonly known as narrow-leaved ironbark, it is valued for its hard, durable timber."
Eucalyptus lansdowneana,"Eucalyptus lansdowneana, Evergreen shrub native to Australia. Commonly known as woollybutt, it is valued for its ornamental value."
Coix aquatica,"Coix aquatica, Perennial grass native to Southeast Asia. Commonly known as water grass, it is grown for its edible grains."
Papilionanthe hookeriana x Papilionanthe teres,"Papilionanthe hookeriana x Papilionanthe teres, Hybrid orchid. It is a cross between Papilionanthe hookeriana and Papilionanthe teres."
Eucalyptus decipiens,"Eucalyptus decipiens, Evergreen tree native to Australia. Commonly known as Mugga ironbark, it is valued for its timber and as a windbreak."
Corymbia calophylla,"Corymbia calophylla, Evergreen tree native to Australia. Commonly known as marri, it is valued for its timber and ornamental value."
Pistacia integerrima,"Pistacia integerrima, Deciduous tree native to Asia. Commonly known as karkash, it is valued for its medicinal properties."
Vigna reflexopilosa,"Vigna reflexopilosa, Perennial herbaceous plant native to Southeast Asia. It is used in traditional medicine and is a source of edible beans."
Eucalyptus cloeziana,"Eucalyptus cloeziana, Evergreen tree native to Australia. Commonly known as Gympie messmate, it is valued for its timber."
Prunus davidiana,"Prunus davidiana, Deciduous tree native to East Asia. Commonly known as David's peach, it produces edible fruits and is used in traditional medicine."
Chionographis japonica,"Chionographis japonica, Perennial herbaceous plant native to East Asia. Commonly known as glory of the snow, it is valued for its early spring flowers."
Coffea humblotiana,"Coffea humblotiana, Perennial evergreen shrub native to Madagascar. It is a coffee species and is cultivated for its beans."
Scilla litardierei,"Scilla litardierei, Perennial bulbous plant native to North Africa and the Mediterranean. Commonly known as woodland squill, it produces blue flowers in spring."
Eucalyptus coolabah,"Eucalyptus coolabah, Evergreen tree native to Australia. Commonly known as coolabah, it is adapted to arid environments."
Flaveria linearis,"Flaveria linearis, Annual or perennial herbaceous plant native to the Americas. Commonly known as narrowleaf yellowtops, it is grown for its yellow flowers."
Gossypium ekmanianum,"Gossypium ekmanianum, Perennial shrub native to the Dominican Republic and Haiti. It is a wild relative of cultivated cotton."
Cucurbita argyrosperma subsp. sororia,"Cucurbita argyrosperma subsp. sororia, Annual or perennial plant native to North America. Commonly known as pumpkin, it is cultivated for its edible fruits."
Flaveria sonorensis,"Flaveria sonorensis, Annual or perennial herbaceous plant native to the Americas. Commonly known as Sonoran yellowtops, it is grown for its yellow flowers."
Eucalyptus marginata,"Eucalyptus marginata, Evergreen tree native to Australia. Commonly known as jarrah, it is valued for its timber and is used in construction."
Eucalyptus dawsonii,"Eucalyptus dawsonii, Evergreen tree native to Australia. Commonly known as Dawson's gum, it is valued for its timber."
Aegilops longissima,"Aegilops longissima, Perennial grass native to Eurasia and North Africa. Commonly known as slender goatgrass, it is considered a weed in some regions."
Protea cynaroides,"Protea cynaroides, Perennial shrub native to South Africa. Commonly known as king protea, it is the national flower of South Africa."
Flaveria ramosissima,"Flaveria ramosissima, Annual or perennial herbaceous plant native to the Americas. Commonly known as branching yellowtops, it is grown for its yellow flowers."
Pistacia atlantica,"Pistacia atlantica, Deciduous tree native to Iran. Commonly known as Mt. Atlas mastic tree, it is valued for its resin and medicinal properties."
Eucalyptus viminalis,"Eucalyptus viminalis, Evergreen tree native to Australia. Commonly known as white gum, it is valued for its timber and is used in construction."
Microstegium vimineum,"Microstegium vimineum, Annual grass native to Asia. Commonly known as Japanese stiltgrass, it is considered an invasive species in some regions."
Camelina laxa,"Camelina laxa, Annual or biennial herbaceous plant native to Europe. Commonly known as small-flowered false flax, it is grown for its oil-rich seeds."
Begonia masoniana,"Begonia masoniana, Perennial evergreen herbaceous plant native to China. Commonly known as iron cross begonia, it is valued for its distinctive leaves."
Cardamine occulta,"Cardamine occulta, Perennial herbaceous plant native to Asia. Commonly known as hidden bittercress, it is edible and used in salads."
Penstemon barbatus,"Penstemon barbatus, Perennial herbaceous plant native to North America. Commonly known as beardlip beardtongue, it produces tubular flowers."
Gentiana dahurica var. dahurica,"Gentiana dahurica var. dahurica, Perennial herbaceous plant native to East Asia. Commonly known as Dahurian gentian, it is valued for its blue flowers."
Sequoiadendron giganteum,"Sequoiadendron giganteum, Evergreen tree native to North America. Commonly known as giant sequoia, it is one of the tallest tree species in the world."
Petrea volubilis,"Petrea volubilis, Perennial woody vine native to Central America. Commonly known as sandpaper vine, it is valued for its ornamental clusters of purple flowers."
Ficus hispida,"Ficus hispida, Evergreen tree native to Southeast Asia. Commonly known as rough-leaved fig, it produces edible fruits."
Begonia loranthoides,"Begonia loranthoides, Perennial evergreen herbaceous plant native to China. Commonly known as trailing begonia, it is valued for its trailing habit."
Bruguiera parviflora,"Bruguiera parviflora, Evergreen shrub or small tree native to Southeast Asia. Commonly known as small-flowered orange mangrove, it is adapted to coastal environments."
Arachis monticola,"Arachis monticola, Perennial herbaceous plant native to South America. Commonly known as hill peanut, it is a wild relative of cultivated peanuts."
Tillandsia fasciculata,"Tillandsia fasciculata, Epiphytic bromeliad native to the Americas. Commonly known as giant air plant, it absorbs nutrients from the air and does not require soil."
Begonia peltatifolia,"Begonia peltatifolia, Perennial evergreen herbaceous plant native to China. Commonly known as shield-leaved begonia, it is valued for its distinctive leaves."
Primulina huaijiensis,"Primulina huaijiensis, Perennial herbaceous plant native to China. Commonly known as Huaiji primrose, it is valued for its tubular flowers."
Arabis montbretiana,"Arabis montbretiana, Perennial herbaceous plant native to Europe. Commonly known as mountain rock-cress, it is valued for its early spring flowers."
Costus pulverulentus,"Costus pulverulentus, Perennial herbaceous plant native to tropical regions. Commonly known as Indian head ginger, it is grown for its ornamental value."
Trifolium occidentale,"Trifolium occidentale, Perennial herbaceous plant native to North America. Commonly known as western clover, it is used for forage."
